Time,x,y
1522079240.6822302, 427, 413
1522079240.7142687, 450, 480
1522079240.7362974, 563, 625
1522079240.745301, 620, 679
1522079240.7593138, 762, 779
1522079240.7773309, 875, 826
1522079240.7943513, 1040, 858
1522079240.809382, 1171, 838
1522079240.8263798, 1304, 763
1522079240.8413951, 1413, 643
1522079240.8594139, 1489, 475
1522079240.8734236, 1527, 294
1522079240.8914409, 1527, 179
1522079240.9104621, 1514, 66
1522079240.9244735, 1500, 37
1522079240.9424896, 1480, 14
1522079240.957503, 1461, 14
1522079240.9601727, 1448, 29
1522079240.9757922, 1428, 59
1522079240.9914267, 1384, 157
1522079240.9914267, 1334, 300
1522079241.0070417, 1312, 381
1522079241.0226808, 1286, 458
1522079241.0226808, 1258, 561
1522079241.0382981, 1239, 617
1522079241.053921, 1200, 704
1522079241.0695584, 1192, 718
1522079241.0695584, 1176, 741
1522079241.085174, 1158, 758
1522079241.085174, 1139, 769
1522079241.1008012, 1072, 781
1522079241.1164212, 1035, 774
1522079241.1164212, 987, 749
1522079241.132042, 833, 625
1522079241.1476696, 743, 505
1522079241.163292, 693, 424
1522079241.163292, 680, 390
1522079241.1789172, 669, 357
1522079241.195883, 653, 302
1522079241.2129002, 645, 175
1522079241.2269144, 660, 160
1522079241.2320411, 721, 141
1522079241.2320411, 787, 137
1522079241.2476642, 882, 148
1522079241.2632904, 966, 186
1522079241.2789154, 1144, 305
1522079241.2789154, 1238, 382
1522079241.29454, 1373, 506
1522079241.310171, 1457, 578
1522079241.310171, 1557, 659
1522079241.3257895, 1580, 673
1522079241.3414223, 1622, 701
1522079241.3570454, 1678, 728
1522079241.3726792, 1729, 733
1522079241.3882902, 1748, 727
1522079241.3882902, 1797, 661
1522079241.4039161, 1817, 600
1522079241.4195473, 1838, 437
1522079241.4195473, 1842, 339
1522079241.4351745, 1842, 295
1522079241.4507954, 1842, 209
1522079241.4507954, 1838, 133
1522079241.4664204, 1836, 116
1522079241.4664204, 1829, 89
1522079241.4820404, 1802, 44
1522079241.4976652, 1785, 44
1522079241.4976652, 1759, 48
1522079241.5132906, 1729, 65
1522079241.5132906, 1691, 92
1522079241.5289147, 1644, 135
1522079241.544539, 1546, 257
1522079241.5601716, 1504, 336
1522079241.5601716, 1462, 420
1522079241.575789, 1427, 514
1522079241.5936105, 1391, 653
1522079241.6096241, 1359, 803
1522079241.6226382, 1342, 872
1522079241.6316504, 1331, 906
1522079241.6333663, 1328, 915
1522079241.6489792, 1313, 948
1522079241.6489792, 1298, 963
1522079241.6646156, 1276, 963
1522079241.6646156, 1190, 910
1522079241.6802294, 1123, 855
1522079241.6958537, 956, 703
1522079241.711479, 780, 528
1522079241.72711, 677, 409
1522079241.7427473, 641, 365
1522079241.7583575, 633, 350
1522079241.7739835, 597, 287
1522079241.7739835, 597, 269
1522079241.7896123, 605, 263
1522079241.805229, 685, 256
1522079241.8208575, 873, 305
1522079241.836491, 1087, 424
1522079241.852107, 1249, 537
1522079241.867738, 1473, 738
1522079241.867738, 1562, 819
1522079241.8833616, 1597, 848
1522079241.8833616, 1664, 904
1522079241.8989782, 1684, 917
1522079241.9146082, 1753, 960
1522079241.9302292, 1796, 971
1522079241.9302292, 1818, 971
1522079241.9458532, 1868, 915
1522079241.961478, 1888, 850
1522079241.961478, 1899, 771
1522079241.9771035, 1907, 672
1522079241.9771035, 1907, 445
1522079242.0090384, 1879, 286
1522079242.025052, 1863, 236
1522079242.0322835, 1850, 196
1522079242.0322835, 1823, 144
1522079242.047908, 1787, 126
1522079242.0635338, 1763, 129
1522079242.0635338, 1736, 149
1522079242.0791552, 1708, 183
1522079242.0947807, 1629, 293
1522079242.0947807, 1592, 367
1522079242.1104054, 1554, 451
1522079242.12603, 1490, 616
1522079242.1416638, 1449, 713
1522079242.1572862, 1424, 760
1522079242.1572862, 1372, 822
1522079242.1729052, 1314, 849
1522079242.1885355, 1154, 846
1522079242.1885355, 1055, 802
1522079242.2041583, 820, 672
1522079242.2197866, 706, 592
1522079242.2354112, 503, 426
1522079242.2510376, 464, 381
1522079242.2510376, 370, 278
1522079242.2666607, 352, 260
1522079242.2894638, 317, 218
1522079242.3084831, 292, 191
1522079242.3214953, 282, 179
1522079242.3385127, 278, 175
1522079242.3765464, 278, 177
